generation,rank,idx,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,docking_score,docking_score_std,gated_base_score,success,source_type,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,docking_score_reencoded,docking_score_std_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank
final,,2,O=Cc1ccc(OC2OC3C=CCOC3(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(Cl)c1,True,10.918511390686035,0.9999549388885498,2.4228732585906982,2.4228732585906982,0.2561471462249756,2.4228732585906982,5.68068265914917,0.0,10.418534278869629,0.4738828241825104,2.9228506088256836,,ga_mutation_crossover,O=Cc1ccc(OC2OC3C=CCOC3(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(Cl)c1,True,1.0,pass,,504.87200000000007,184.6,6.0,12.0,18.0,-1.922799999999998,6.0,4.0,34.0,13.0,0.17647058823529413,1.0,True,ok,0.9876139163970947,1.819711685180664,1.819711685180664,0.4755527675151825,1.819711685180664,6.687625885009766,0.5395787358283997,10.492288589477539,0.34920355677604675,10.986095428466797,0.0,not_used,,10.986095428466797,False,pred_logsw_reencoded_low,1.0
final,,12,O=C1N2OC3(OC4OC(CO)C(O)C(O)C4O)OC(O)C4(O)C2(O)CNC134,True,10.799237251281738,0.9999572038650513,2.347301959991455,2.347301959991455,0.21773368120193481,2.347301959991455,5.74810266494751,0.0,10.2992582321167,0.46022945642471313,2.847280502319336,,ga_mutation_crossover,O=C1N2OC3(OC4OC(CO)C(O)C(O)C4O)OC(O)C4(O)C2(O)CNC134,True,0.88,pass,,394.28900000000016,210.86999999999998,8.0,13.0,21.0,-6.645599999999994,3.0,5.0,27.0,14.0,0.0,0.0,True,ok,0.999642014503479,1.4550124406814575,1.4550124406814575,0.28628242015838623,1.4550124406814575,7.585894584655762,1.3085250854492188,10.210176467895508,0.7100872993469238,10.685056686401367,0.0,not_used,,10.625056686401367,False,pred_logsw_reencoded_low;d_ood_reencoded_high,2.0
final,,11,COc1cc2c3c(c1OC1OC(CO)C(O)C(O)C1O)C1(Cl)C4OCC1C(O3)C2O4,True,10.93383502960205,0.9999582767486572,2.2865710258483887,2.2865710258483887,0.22450032830238342,2.2865710258483887,5.6948161125183105,0.0,10.433856010437012,0.5115882158279419,2.7865500450134277,,ga_mutation_crossover,COc1cc2c3c(c1OC1OC(CO)C(O)C(O)C1O)C1(Cl)C4OCC1C(O3)C2O4,True,1.0,pass,,444.82000000000016,136.3,4.0,10.0,14.0,-0.8736000000000006,4.0,6.0,30.0,11.0,0.2,1.0,True,ok,0.9723968505859375,2.4514732360839844,2.4514732360839844,0.34463614225387573,2.4514732360839844,7.206746578216553,0.9839624166488647,10.009489059448242,0.6895105838775635,10.495687484741211,0.0,not_used,,10.495687484741211,False,pred_logsw_reencoded_low,3.0
final,,26,CCC(CC)OC(C)COc1c(OC2OC(CO)C(O)C(O)C2O)c2oc1c(O)c2O,True,10.908710479736328,0.9999433755874634,2.305575370788574,2.305575370788574,0.2317030280828476,2.305575370788574,5.665372848510742,0.0,10.40873908996582,0.5437341928482056,2.805546998977661,,ga_mutation_crossover,CCC(CC)OC(C)COc1c(OC2OC(CO)C(O)C(O)C2O)c2oc1c(O)c2O,True,1.0,pass,,446.4490000000001,171.44,6.0,11.0,17.0,0.432999999999999,10.0,3.0,31.0,11.0,0.22580645161290322,0.0,True,ok,0.9557495713233948,1.3521673679351807,1.3521673679351807,0.3659874498844147,1.3521673679351807,5.787724494934082,0.0,10.004841804504395,0.5452971458435059,10.48271656036377,0.0,not_used,,10.48271656036377,False,pred_logsw_reencoded_low,4.0
final,,22,CC(=O)CC(O)(O)c1cc2c(c(OC3OC(CO)C(O)C(O)C3O)c1)OC(c1ccc(O)c(Cl)c1)C(C)O2,True,10.74610710144043,0.9999223947525024,2.462791681289673,2.462791681289673,0.19928288459777832,2.462791681289673,5.66439151763916,0.0,10.246146202087402,0.46141475439071655,2.9627528190612793,,ga_mutation_crossover,CC(=O)CC(O)(O)c1cc2c(c(OC3OC(CO)C(O)C(O)C3O)c1)OC(c1ccc(O)c(Cl)c1)C(C)O2,True,1.0,pass,,556.9480000000001,195.59999999999997,7.0,12.0,19.0,0.24179999999999963,7.0,4.0,38.0,13.0,0.3157894736842105,1.0,True,ok,0.9935429096221924,2.2074131965637207,2.2074131965637207,0.243618905544281,2.2074131965637207,6.327223777770996,0.23106318712234497,9.938150405883789,0.4248354136943817,10.434922218322754,0.0,not_used,,10.434922218322754,False,pred_logsw_reencoded_low,5.0
final,,21,O=[SH](=O)N=CC(O)(OC1OC(CO)C(O)C(O)C1O)C(O)c1cc(O)c(O)c(Cl)c1,True,10.916708946228027,0.9999555349349976,2.3916563987731934,2.3916563987731934,0.24811401963233948,2.3916563987731934,5.718094348907471,0.0,10.416730880737305,0.4769998788833618,2.891634225845337,,ga_mutation_crossover,O=[SH](=O)N=CC(O)(OC1OC(CO)C(O)C(O)C1O)C(O)c1cc(O)c(O)c(Cl)c1,True,0.7000000000000001,pass,,473.84000000000015,226.79999999999998,9.0,12.0,21.0,-3.1131,7.0,2.0,30.0,15.0,0.2,1.0,True,ok,0.9940081834793091,2.522881031036377,2.522881031036377,0.4074856638908386,2.522881031036377,6.613256931304932,0.4759165644645691,10.080350875854492,0.7271825671195984,10.57735538482666,0.0,not_used,,10.42735538482666,False,pred_logsw_reencoded_low,6.0
final,,4,COc1c(O)c(CN(C(C)C)C(C)O)c(Cl)c(OC2OC(CO)C(O)C(O)C2O)c1O,True,10.952827453613281,0.9999607801437378,2.4632773399353027,2.4632773399353027,0.2181939035654068,2.4632773399353027,5.76302433013916,0.0,10.452847480773926,0.4272364675998688,2.9632577896118164,,ga_mutation_crossover,COc1c(O)c(CN(C(C)C)C(C)O)c(Cl)c(OC2OC(CO)C(O)C(O)C2O)c1O,True,1.0,pass,,467.89900000000017,172.54,7.0,11.0,18.0,-0.5128000000000003,8.0,2.0,31.0,12.0,0.1935483870967742,1.0,True,ok,0.9938876032829285,2.311819553375244,2.311819553375244,0.34609687328338623,2.311819553375244,7.281977653503418,1.0483626127243042,9.781713485717773,0.4507889449596405,10.274747848510742,0.0,not_used,,10.274747848510742,False,pred_logsw_reencoded_low;d_ood_reencoded_high,7.0
final,,10,CC1COc2c(OC3OC(CO)C(O)C(O)C3O)cc(O)c(O)c2O1,True,10.867453575134277,0.999955415725708,2.3767876625061035,2.3767876625061035,0.30482521653175354,2.3767876625061035,5.712291717529297,0.0,10.367475509643555,0.469568133354187,2.876765251159668,,ga_mutation_crossover,CC1COc2c(OC3OC(CO)C(O)C(O)C3O)cc(O)c(O)c2O1,True,1.0,pass,,360.3150000000001,158.29999999999998,6.0,10.0,16.0,-1.5638000000000003,3.0,3.0,25.0,10.0,0.24,0.0,True,ok,0.994536280632019,0.8646681904792786,0.8646681904792786,0.5387887954711914,0.8646681904792786,5.838842868804932,0.0,9.749259948730469,0.6645646095275879,10.246527671813965,0.0,not_used,,10.246527671813965,False,pred_logsw_reencoded_low,8.0
final,,15,COc1c(O)c(C)c(Cl)c(OC2OC(CO)C(O)C(O)C2O)c1OC(=O)O,True,10.811128616333008,0.9999268054962158,2.3778555393218994,2.3778555393218994,0.2249106764793396,2.3778555393218994,5.6122589111328125,0.0,10.311164855957031,0.4291234314441681,2.877819061279297,,ga_mutation_crossover,COc1c(O)c(C)c(Cl)c(OC2OC(CO)C(O)C(O)C2O)c1OC(=O)O,True,1.0,pass,,410.75900000000007,175.36999999999998,6.0,10.0,16.0,-0.4018800000000005,5.0,2.0,27.0,12.0,0.2222222222222222,1.0,True,ok,0.9995579123497009,2.05588436126709,2.05588436126709,0.43181467056274414,2.05588436126709,7.053955078125,0.8531680703163147,9.582898139953613,0.43283891677856445,10.082676887512207,0.0,not_used,,10.082676887512207,False,pred_logsw_reencoded_low,9.0
final,,5,OCC1OC(OC23OC4(O)C5(OCCC4(O)C(Cl)C2O5)S3)C(O)C(O)C1O,True,10.996898651123047,0.9999222755432129,2.4826650619506836,2.4826650619506836,0.2560730576515198,2.4826650619506836,5.752108097076416,0.0,10.49693775177002,0.3989141583442688,2.98262619972229,,ga_mutation_crossover,OCC1OC(OC23OC4(O)C5(OCCC4(O)C(Cl)C2O5)S3)C(O)C(O)C1O,True,0.88,pass,,430.815,167.53,6.0,12.0,18.0,-3.266299999999999,3.0,6.0,27.0,13.0,0.0,1.0,True,ok,0.9985085129737854,1.653314232826233,1.653314232826233,0.3663567900657654,1.653314232826233,7.8369011878967285,1.5233945846557617,9.416829109191895,0.37363508343696594,9.873773574829102,0.0,not_used,,9.813773574829101,False,pred_logsw_reencoded_low;d_ood_reencoded_high,10.0
