generation,rank,idx,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,success,source_type,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank
final,,15,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC1CC(C)(C)C,True,3.7389702796936035,0.9999667406082153,3.2389869689941406,3.360321044921875,0.4853363335132599,3.2389869689941406,4.852620601654053,0.0,,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC1CC(C)(C)C,True,1.0,pass,,376.45300000000015,95.94,2.0,5.0,7.0,1.8080999999999996,7.0,2.0,27.0,7.0,0.2222222222222222,0.0,True,ok,0.9995546936988831,3.2151055335998535,3.3672232627868652,0.6084710955619812,3.2151055335998535,4.549036026000977,0.0,3.7148828506469727,0.0,not_used,,3.7148828506469727,True,pass,1.0
final,,26,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,True,3.8419787883758545,0.9999775886535645,3.3419899940490723,3.4277451038360596,0.3430204391479492,3.3419899940490723,4.991659641265869,0.0,,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)N(CCc1ccccc1)C(=O)CCC(=O)O,True,1.0,pass,,383.4440000000002,83.91,1.0,4.0,5.0,2.7068000000000003,10.0,2.0,28.0,6.0,0.42857142857142855,0.0,True,ok,0.9998629093170166,3.133641242980957,3.2400059700012207,0.42545926570892334,3.133641242980957,5.794636249542236,0.0,3.633572578430176,0.0,not_used,,3.633572578430176,True,pass,2.0
final,,6,CCCCC(c1ccccc1)N(C(=O)CCC(=O)O)C(Cc1ccccc1)C(=O)OC,True,3.8666605949401855,0.9999779462814331,3.366671562194824,3.460165500640869,0.3739759624004364,3.366671562194824,5.043095588684082,0.0,,ga_mutation_crossover,CCCCC(c1ccccc1)N(C(=O)CCC(=O)O)C(Cc1ccccc1)C(=O)OC,True,0.88,pass,,425.52500000000015,83.91000000000001,1.0,4.0,5.0,4.3956000000000035,12.0,2.0,31.0,6.0,0.3870967741935484,0.0,True,ok,0.9997342228889465,3.0224545001983643,3.1216557025909424,0.3968047499656677,3.0224545001983643,5.765937805175781,0.0,3.5223217010498047,0.0,not_used,,3.4623217010498046,True,pass,6.0
final,,7,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1C(=O)C(N)CC(=O)O,True,3.8077869415283203,0.9999796152114868,3.3077971935272217,3.4012043476104736,0.3736283779144287,3.3077971935272217,5.068539619445801,0.0,,ga_mutation_crossover,COC(=O)C1(Cc2ccccc2)NC(=O)C(CC(=O)O)N1C(=O)C(N)CC(=O)O,True,1.0,pass,,407.3790000000002,176.32999999999998,4.0,7.0,11.0,-1.2978999999999963,8.0,2.0,29.0,11.0,0.20689655172413793,0.0,True,ok,0.9999810457229614,2.870147466659546,2.992464780807495,0.4892689883708954,2.870147466659546,5.496960639953613,0.0,3.370137929916382,0.0,not_used,,3.370137929916382,True,pass,7.0
final,,12,COC(=O)C(Cc1ccccc1)=C1NCC(c2ccccc2)=NN1,True,3.7617852687835693,0.9999785423278809,3.261795997619629,3.3667056560516357,0.4196386933326721,3.261795997619629,4.968432903289795,0.0,,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)=C1NCC(c2ccccc2)=NN1,True,1.0,pass,,321.38,62.72,2.0,5.0,7.0,2.2108,4.0,3.0,24.0,5.0,0.5,0.0,True,ok,0.6036158204078674,2.735063076019287,2.814899444580078,0.3193458914756775,2.735063076019287,5.936101913452148,0.0,2.879763603210449,0.0,not_used,,2.879763603210449,False,p_sweet_reencoded_low,26.0
final,,9,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)Oc1ncccc1CN,True,3.8099818229675293,0.9999686479568481,3.30999755859375,3.428118944168091,0.47248584032058716,3.30999755859375,4.947474479675293,0.0,,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)NC(=O)CCC(=O)Oc1ncccc1CN,True,1.0,pass,,385.42000000000013,120.61,2.0,7.0,9.0,1.1263999999999994,9.0,2.0,28.0,8.0,0.42857142857142855,0.0,True,ok,0.9999533891677856,2.2400431632995605,2.367058515548706,0.5080611109733582,2.2400431632995605,5.1471710205078125,0.0,2.7400197982788086,0.0,not_used,,2.7400197982788086,False,pred_logsw_reencoded_low,27.0
final,,27,COC(=O)C(Cc1ccccc1)N(C(=O)C(N)CC(=O)O)C(C)C(C)(C)C,True,3.808450698852539,0.9999769926071167,3.308462142944336,3.4122986793518066,0.4153463542461395,3.308462142944336,4.885726451873779,0.0,,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)N(C(=O)C(N)CC(=O)O)C(C)C(C)(C)C,True,1.0,pass,,378.46900000000016,109.92999999999999,2.0,5.0,7.0,1.8358999999999992,8.0,1.0,27.0,7.0,0.2222222222222222,0.0,True,ok,0.9997956156730652,1.9704506397247314,2.0089735984802246,0.1540917009115219,1.9704506397247314,6.916562080383301,0.674492359161377,2.470348358154297,0.0,not_used,,2.470348358154297,False,pred_logsw_reencoded_low,28.0
final,,10,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC12CC(C)(O)CO2,True,3.7745327949523926,0.9999799728393555,3.274542808532715,3.389981746673584,0.4617554843425751,3.274542808532715,4.836906909942627,0.0,,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NC12CC(C)(O)CO2,True,1.0,pass,,392.4080000000002,125.4,3.0,7.0,10.0,-0.12909999999999838,6.0,3.0,28.0,9.0,0.21428571428571427,0.0,True,ok,0.9998884201049805,1.7328883409500122,1.8033031225204468,0.2816590964794159,1.7328883409500122,5.801907539367676,0.0,2.232832431793213,0.0,not_used,,2.232832431793213,False,pred_logsw_reencoded_low,29.0
final,,14,COc1ccccc1C1N(C(=O)CCC(=O)O)c2c(C)nn1c2C,True,3.81772780418396,0.9999756813049316,3.317739963531494,3.431790828704834,0.4562031626701355,3.317739963531494,4.792715549468994,0.0,,ga_mutation_crossover,COc1ccccc1C1N(C(=O)CCC(=O)O)c2c(C)nn1c2C,True,1.0,pass,,329.356,84.66,1.0,5.0,6.0,2.26684,5.0,3.0,24.0,7.0,0.4583333333333333,0.0,True,ok,0.2220848649740219,1.5877039432525635,1.6447910070419312,0.2283484786748886,1.5877039432525635,6.0702009201049805,0.0,1.2364141941070557,0.0,not_used,,1.2364141941070557,False,p_sweet_reencoded_low;pred_logsw_reencoded_low,30.0
1,0.0,23,COC(=O)C(Cc1ccccc1)N1C(=O)C(CC(=O)O)NCC1C(C)(C)C,True,3.414327621459961,0.9999387264251709,2.914358377456665,3.0107970237731934,0.3857542872428894,2.914358377456665,5.214848518371582,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
